City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Tandalti,SD,85.3,scattered clouds,13.02,31.87,منزل : الهادي محمد مساعد
15,Kapaa,US,84.99,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
18,Kutum,SD,82.89,broken clouds,14.2,24.67,Dibbo areaمنطقة دبو
19,Kumluca,TR,76.23,clear sky,36.37,30.29,TurkuazKöy
23,Rio Novo Do Sul,BR,80.24,clear sky,-20.86,-40.94,Pousada Três Irmãs
27,Caravelas,BR,77.5,clear sky,-17.71,-39.25,Pousada dos Navegantes
31,Salalah,OM,78.8,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
39,Coahuayana,MX,84.2,scattered clouds,18.73,-103.68,Hotel Los Arcos
43,Jaque,PA,76.68,heavy intensity rain,7.52,-78.17,cabañas de playa
45,Ipixuna,BR,86.0,scattered clouds,-1.76,-48.8,Casa da Oscarina
50,Kavieng,PG,82.72,overcast clouds,-2.57,150.8,Nusa Island Retreat
56,Saint George,US,84.99,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
64,Gat,IL,77.0,clear sky,31.61,34.76,OlusHome
65,Sur,OM,82.83,clear sky,22.57,59.53,Sur Plaza Hotel
70,Balikpapan,ID,76.59,overcast clouds,-1.27,116.83,Grand Jatra Hotel Balikpapan
71,Ambon,ID,78.87,light rain,-3.7,128.18,Swiss-Belhotel Ambon
75,Butaritari,KI,81.46,overcast clouds,3.07,172.79,Isles Sunset Lodge
80,Kasangulu,CD,87.8,scattered clouds,-4.59,15.17,Hôtel le Relais
84,Atuona,PF,78.13,light rain,-9.8,-139.03,Villa Enata
85,Bengkulu,ID,75.92,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
88,Puerto Ayora,EC,77.0,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
91,Sao Jose Da Coroa Grande,BR,77.4,overcast clouds,-8.9,-35.15,Crôa Mares Hotel
