City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Mount Pleasant,32.79,-79.86,70.0,60,20,4.7,US,few clouds
1,Vaini,-21.2,-175.2,73.4,94,90,10.29,TO,overcast clouds
2,Busselton,-33.65,115.33,48.0,64,99,8.95,AU,overcast clouds
3,Ushuaia,-54.8,-68.3,46.4,73,40,17.22,AR,scattered clouds
4,Tandalti,13.02,31.87,85.3,53,45,17.78,SD,scattered clouds
5,Comodoro Rivadavia,-45.87,-67.5,66.2,45,0,13.87,AR,clear sky
6,Hermanus,-34.42,19.23,59.0,86,12,5.99,ZA,few clouds
7,Bluff,-46.6,168.33,50.0,96,100,17.0,NZ,light rain
8,New Norfolk,-42.78,147.06,51.01,91,100,1.12,AU,light rain
9,Pangnirtung,66.15,-65.71,33.8,91,90,11.41,CA,overcast clouds
10,Ponta Do Sol,32.67,-17.1,71.6,78,40,12.75,PT,scattered clouds
11,Cape Town,-33.93,18.42,64.0,72,20,3.36,ZA,few clouds
12,Rikitea,-23.12,-134.97,72.95,77,0,17.65,PF,clear sky
13,Tuktoyaktuk,69.45,-133.04,42.8,93,90,8.05,CA,shower rain
14,Bodaybo,57.85,114.19,28.53,89,21,1.43,RU,few clouds
15,Kapaa,22.08,-159.32,84.99,74,40,4.7,US,scattered clouds
16,Pareora,-44.49,171.21,55.94,66,100,14.56,NZ,overcast clouds
17,Chokurdakh,70.63,147.92,27.86,98,99,13.24,RU,overcast clouds
18,Kutum,14.2,24.67,82.89,35,62,5.97,SD,broken clouds
19,Kumluca,36.37,30.29,76.23,40,0,4.72,TR,clear sky
20,Port Alfred,-33.59,26.89,61.7,84,67,19.6,ZA,light rain
21,Jamestown,42.1,-79.24,57.0,54,40,9.17,US,scattered clouds
22,Nome,64.5,-165.41,46.99,87,90,5.82,US,light rain
23,Rio Novo Do Sul,-20.86,-40.94,80.24,67,0,6.82,BR,clear sky
24,Dikson,73.51,80.55,34.38,87,100,19.19,RU,overcast clouds
25,Redding,40.59,-122.39,91.4,22,1,5.82,US,smoke
26,Dengzhou,37.81,120.75,62.44,64,0,16.6,CN,clear sky
27,Caravelas,-17.71,-39.25,77.5,75,0,10.56,BR,clear sky
28,Talnakh,69.49,88.4,26.6,92,0,29.08,RU,clear sky
29,Castro,-24.79,-50.01,73.36,69,74,13.09,BR,broken clouds
30,Hobart,-42.88,147.33,51.01,93,90,8.05,AU,overcast clouds
31,Salalah,17.02,54.09,78.8,78,0,2.24,OM,clear sky
32,Araouane,18.9,-3.53,97.27,25,98,8.34,ML,light rain
33,Port Elizabeth,-33.92,25.57,60.8,93,93,11.41,ZA,light rain
34,Guerrero Negro,27.98,-114.06,90.19,27,0,11.5,MX,clear sky
35,Naze,28.37,129.48,71.6,94,8,9.62,JP,clear sky
36,Colares,38.8,-9.45,63.0,72,20,4.7,PT,few clouds
37,Mao,39.89,4.27,66.2,45,20,10.29,ES,few clouds
38,Mount Gambier,-37.83,140.77,55.4,93,90,5.82,AU,light intensity shower rain
39,Coahuayana,18.73,-103.68,84.2,45,40,11.41,MX,scattered clouds
40,Tasiilaq,65.61,-37.64,30.2,92,20,6.93,GL,fog
41,Gilgit,35.92,74.31,65.7,26,0,3.96,PK,clear sky
42,Damghan,36.17,54.35,61.2,40,23,2.3,IR,few clouds
43,Jaque,7.52,-78.17,76.68,89,100,10.51,PA,heavy intensity rain
44,Shitanjing,39.23,106.34,35.4,66,0,3.33,CN,clear sky
45,Ipixuna,-1.76,-48.8,86.0,74,40,10.29,BR,scattered clouds
46,Olafsvik,64.89,-23.71,42.85,80,94,9.33,IS,overcast clouds
47,Mataura,-46.19,168.86,50.0,96,100,17.0,NZ,light rain
48,Khatanga,71.97,102.5,18.0,98,88,11.72,RU,overcast clouds
49,Kushima,31.46,131.23,69.33,86,59,4.36,JP,broken clouds
50,Kavieng,-2.57,150.8,82.72,75,99,9.95,PG,overcast clouds
51,Qaanaaq,77.48,-69.36,25.7,88,99,2.08,GL,overcast clouds
52,Yellowknife,62.46,-114.35,50.0,76,75,20.8,CA,broken clouds
53,Sturgeon Bay,44.83,-87.38,46.4,75,90,4.7,US,moderate rain
54,Lebu,-37.62,-73.65,50.05,60,2,8.41,CL,clear sky
55,Leningradskiy,69.38,178.42,30.87,95,100,12.19,RU,overcast clouds
56,Saint George,37.1,-113.58,84.99,8,1,0.56,US,clear sky
57,Marienburg,54.04,19.03,66.0,100,97,15.26,PL,overcast clouds
58,Esperance,-33.87,121.9,46.4,100,90,5.82,AU,overcast clouds
59,Narsaq,60.92,-46.05,41.0,65,20,6.93,GL,few clouds
60,Kroya,-7.63,109.25,64.0,88,100,5.75,ID,light rain
61,Poim,53.03,43.19,54.84,63,100,6.11,RU,overcast clouds
62,Albany,42.6,-73.97,60.01,64,95,8.12,US,light rain
63,Thompson,55.74,-97.86,42.8,60,75,5.82,CA,broken clouds
64,Gat,31.61,34.76,77.0,71,0,3.13,IL,clear sky
65,Sur,22.57,59.53,82.83,45,0,7.0,OM,clear sky
66,Port Macquarie,-31.43,152.92,53.01,99,5,12.75,AU,clear sky
67,Zakamensk,50.37,103.29,22.39,78,0,2.04,RU,clear sky
68,Bethel,41.37,-73.41,66.0,42,20,8.05,US,few clouds
69,Ambovombe,-25.17,46.08,66.79,79,93,14.99,MG,overcast clouds
70,Balikpapan,-1.27,116.83,76.59,87,100,8.25,ID,overcast clouds
71,Ambon,-3.7,128.18,78.87,86,100,7.72,ID,light rain
72,Eureka,40.8,-124.16,62.6,87,90,3.36,US,mist
73,Tuatapere,-46.13,167.68,50.0,96,100,17.0,NZ,light rain
74,Salamanca,40.83,-6.0,54.0,73,7,1.99,ES,clear sky
75,Butaritari,3.07,172.79,81.46,71,99,11.48,KI,overcast clouds
76,Santa Fe,-31.63,-60.7,52.61,53,100,13.71,AR,overcast clouds
77,Hanyu,36.17,139.53,72.0,79,99,3.91,JP,overcast clouds
78,San Patricio,19.22,-104.7,91.4,63,5,9.17,MX,clear sky
79,Mezhdurechensk,53.69,88.06,33.3,90,0,2.55,RU,clear sky
80,Kasangulu,-4.59,15.17,87.8,58,40,2.24,CD,scattered clouds
81,Lasa,46.62,10.7,52.0,87,75,10.29,IT,broken clouds
82,Rafai,4.95,23.92,70.72,86,63,1.28,CF,broken clouds
83,Torbay,47.67,-52.73,64.99,93,75,18.34,CA,broken clouds
84,Atuona,-9.8,-139.03,78.13,76,39,26.13,PF,light rain
85,Bengkulu,-3.8,102.27,75.92,84,100,6.4,ID,overcast clouds
86,Westport,41.14,-73.36,66.99,45,1,11.41,US,clear sky
87,Chapulhuacan,21.17,-98.9,74.44,59,14,6.42,MX,few clouds
88,Puerto Ayora,-0.74,-90.35,77.0,61,40,20.8,EC,scattered clouds
89,Norman Wells,65.28,-126.83,50.0,71,40,4.21,CA,scattered clouds
90,Clyde River,70.47,-68.59,26.6,86,90,2.24,CA,overcast clouds
91,Sao Jose Da Coroa Grande,-8.9,-35.15,77.4,75,99,9.01,BR,overcast clouds
92,Hilo,19.73,-155.09,82.4,61,1,4.7,US,clear sky
93,Bredasdorp,-34.53,20.04,60.8,87,86,9.17,ZA,overcast clouds
94,San Luis,-33.3,-66.34,60.13,37,100,5.03,AR,overcast clouds
95,Cairns,-16.92,145.77,75.2,60,75,14.99,AU,broken clouds
96,Shingu,33.73,135.98,67.33,88,97,4.27,JP,overcast clouds
97,La Ronge,55.1,-105.28,53.6,58,75,8.05,CA,broken clouds
98,Luderitz,-26.65,15.16,56.97,80,0,10.98,NA,clear sky
99,Payson,40.04,-111.73,78.01,30,1,4.7,US,clear sky
100,Sao Joao Da Barra,-21.64,-41.05,80.6,74,40,23.04,BR,scattered clouds
101,Port Hedland,-20.32,118.57,69.8,38,100,19.46,AU,overcast clouds
102,Severo-Kurilsk,50.68,156.12,45.18,77,100,6.96,RU,overcast clouds
103,Wanning,18.8,110.4,80.29,88,87,5.19,CN,overcast clouds
104,Padang,-0.95,100.35,77.97,73,96,3.02,ID,overcast clouds
105,Avarua,-21.21,-159.78,77.0,69,49,10.29,CK,scattered clouds
106,Takoradi,4.88,-1.76,76.37,87,30,7.81,GH,scattered clouds
107,Hami,42.8,93.45,53.38,34,66,4.52,CN,broken clouds
108,Fort Morgan,40.25,-103.8,66.2,22,1,9.17,US,clear sky
109,Pevek,69.7,170.31,31.33,97,100,3.87,RU,overcast clouds
110,Poum,-20.23,164.02,69.8,73,2,11.56,NC,clear sky
111,Palomares,17.15,-95.07,79.45,73,31,17.63,MX,light rain
112,Cidreira,-30.18,-50.21,56.57,90,100,16.78,BR,light rain
113,Carnarvon,-24.87,113.63,57.2,54,0,23.04,AU,clear sky
114,Barrow,71.29,-156.79,33.8,94,90,5.82,US,mist
115,Bambanglipuro,-7.95,110.28,76.35,87,22,8.59,ID,few clouds
116,Karratha,-20.74,116.85,60.57,31,90,17.49,AU,overcast clouds
117,Ormara,25.21,64.64,86.79,39,0,14.83,PK,clear sky
118,San Quintin,30.48,-115.95,86.04,31,0,7.18,MX,clear sky
119,Alofi,-19.06,-169.92,77.0,88,75,14.99,NU,broken clouds
120,Bialogard,54.01,15.99,63.0,77,56,15.41,PL,broken clouds
121,Lagoa,39.05,-27.98,68.83,87,66,17.13,PT,broken clouds
122,Tessalit,20.2,1.01,91.6,26,88,5.86,ML,light rain
123,Punta Arenas,-53.15,-70.92,48.2,57,75,28.86,CL,broken clouds
124,Saldanha,-33.01,17.94,60.8,77,0,4.7,ZA,clear sky
125,Richards Bay,-28.78,32.04,67.5,93,100,11.97,ZA,light rain
126,Bubaque,11.28,-15.83,81.77,77,77,11.16,GW,broken clouds
127,Cherskiy,68.75,161.3,26.78,96,22,4.43,RU,few clouds
128,Chapais,49.78,-74.85,41.0,48,90,11.41,CA,overcast clouds
129,Ostrovnoy,68.05,39.51,38.62,77,52,15.61,RU,broken clouds
130,Deputatskiy,69.3,139.9,22.57,97,99,14.58,RU,overcast clouds
131,Pecos,31.42,-103.49,89.6,14,1,4.7,US,clear sky
132,Faanui,-16.48,-151.75,78.28,77,7,19.35,PF,clear sky
133,Coquimbo,-29.95,-71.34,59.0,58,100,14.99,CL,overcast clouds
134,Port Hardy,50.7,-127.42,53.6,100,90,3.36,CA,mist
135,Gorontalo,0.54,123.06,75.7,85,98,2.53,ID,overcast clouds
136,Amahai,-3.33,128.92,77.49,86,99,1.72,ID,moderate rain
137,Bandarbeyla,9.49,50.81,77.83,87,26,8.57,SO,light rain
138,Kruisfontein,-34.0,24.73,60.01,92,78,5.01,ZA,light rain
139,Harper,4.38,-7.72,77.47,87,72,10.56,LR,light rain
140,Hithadhoo,-0.6,73.08,83.37,74,100,10.63,MV,overcast clouds
141,Sinnamary,5.38,-52.95,83.61,74,83,11.12,GF,broken clouds
142,Lompoc,34.64,-120.46,84.2,44,1,6.93,US,clear sky
143,Bairiki,1.33,172.98,80.6,78,75,5.82,KI,broken clouds
144,Hofn,64.25,-15.21,47.55,93,100,14.79,IS,light rain
145,San Cristobal,7.77,-72.22,89.6,52,40,8.05,VE,scattered clouds
146,Kondinskoye,59.65,67.41,32.58,92,58,10.51,RU,broken clouds
147,Moree,-29.47,149.85,59.0,72,0,11.41,AU,clear sky
148,Chabahar,25.29,60.64,82.4,69,0,2.26,IR,clear sky
149,Kamsack,51.57,-101.9,48.2,70,90,4.7,CA,overcast clouds
150,Arman,59.7,150.17,40.15,78,100,2.95,RU,overcast clouds
151,Paamiut,61.99,-49.67,35.89,85,15,7.38,GL,few clouds
152,Pisco,-13.7,-76.22,71.6,60,1,19.46,PE,dust
153,Camana,-16.62,-72.71,66.81,64,12,12.35,PE,few clouds
154,Avera,33.19,-82.53,71.6,46,40,6.93,US,scattered clouds
155,Rocha,-34.48,-54.33,50.2,67,84,13.02,UY,broken clouds
156,Buraydah,26.33,43.98,82.4,30,0,9.66,SA,clear sky
157,Stuttgart,48.78,9.18,50.0,93,0,2.24,DE,clear sky
158,Mahebourg,-20.41,57.7,69.8,88,40,1.12,MU,scattered clouds
